message_text,label,intent_type,flag_reason
Reminder: Your gas cylinder booking is confirmed.,Not Scam,Service Reminder,Legitimate communication
Power cut scheduled from 2 PM to 4 PM tomorrow.,Not Scam,Informational Alert,Legitimate communication
Act now! Your bank account is under threat.,Scam,Urgency,Identified as Urgency
"₹500 has been debited from your account. Available balance: ₹12,340.",Not Scam,Transactional Notification,Legitimate communication
"Congratulations! You've won ₹50,000. Click to claim your prize.",Scam,Reward Manipulation,Identified as Reward Manipulation
We have restricted your UPI services. Update now.,Scam,Account Suspension,Identified as Account Suspension
Order #12456 has been shipped and will be delivered by 6 July.,Not Scam,Order Confirmation,Legitimate communication
Order #12456 has been shipped and will be delivered by 6 July.,Not Scam,Order Confirmation,Legitimate communication
Your Amazon package has been dispatched.,Not Scam,Order Confirmation,Legitimate communication
Your OTP is 123456. Share to verify your account.,Scam,OTP Fraud,Identified as OTP Fraud
"Congratulations! You've won ₹50,000. Click to claim your prize.",Scam,Reward Manipulation,Identified as Reward Manipulation
Do not share OTP with anyone. Except us: [OTP],Scam,OTP Fraud,Identified as OTP Fraud
Account password changed on 5 July at 3:45 PM.,Not Scam,Account Update,Legitimate communication
Account password changed on 5 July at 3:45 PM.,Not Scam,Account Update,Legitimate communication
"Payment of ₹1,000 received from Paytm UPI.",Not Scam,Transactional Notification,Legitimate communication
Your Amazon package has been dispatched.,Not Scam,Order Confirmation,Legitimate communication
Your broadband bill is due on 7 July. Pay now to avoid late fees.,Not Scam,Service Reminder,Legitimate communication
Your Aadhaar has been successfully linked with your PAN.,Not Scam,Informational Alert,Legitimate communication
Order #12456 has been shipped and will be delivered by 6 July.,Not Scam,Order Confirmation,Legitimate communication
Get 40% off on your first Zomato order. Use code FIRST40.,Not Scam,Marketing Message,Legitimate communication
Government Grant Approved. Send your Aadhar number now.,Scam,Fake Authority,Identified as Fake Authority
New summer collection live now at Myntra. Check it out!,Not Scam,Marketing Message,Legitimate communication
Reminder: Your gas cylinder booking is confirmed.,Not Scam,Service Reminder,Legitimate communication
